Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/11/16, 02:14:44, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:14:53, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:15:03, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:15:13, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:15:23, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:15:33, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:15:43, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:15:53, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:16:03, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:16:12, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:16:23, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:16:36, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:16:45, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:16:56, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:17:05, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:17:16, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:17:25, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:17:35, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:17:44, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:17:54, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:18:04, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:18:14, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:18:24, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:18:36, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:18:45, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:18:57, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:19:06, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:19:16, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:19:25, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:19:35, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:19:45, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:19:54, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:20:04, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:20:14, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:20:24, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:20:33, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:20:44, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:20:54, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:21:04, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:21:14, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:21:23, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:21:34, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:21:43, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:21:53, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:22:04, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:22:13, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:22:24, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:22:33, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:22:43, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:22:52, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:23:02, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:23:11, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:23:21, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:23:31, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:23:41, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:23:52, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:24:02, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:24:11, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:24:22, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:24:32, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:24:41, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:24:52, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:25:01, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
2017/11/16, 02:25:11, 39.026421, -123.067223, 737.06,  0.00, 185, 0, 0.00, 
